soldier_acft_id,test_date,uic,mos,sex,rank,rank_category,pay_grade,age_at_test,test_type,profile,raw_plank,raw_strength_deadlift,raw_standing_power_throw,raw_hand_release_push_up,raw_sprint_drag_carry,raw_2mi_run,raw_alt_aerobic,plank_score,strength_deadlift_score,alt_aerobic_event,standing_power_throw_score,hand_release_push_up_score,sprint_drag_carry_score,2mi_run_score,alt_aerobic_score,total_score,test_status,deadlift_not_attempted,plank_not_attempted,power_throw_not_attempted,pushup_not_attempted,sprint_not_attempted
48002A22-F1AF-4DAD-B25F-C974FEBCB08F,9/28/2022,W00115,35A,M,CPT,Officer,O3,32,RECORD,none,135,270,10.2,41,'01:40','15:30',,78,87,,84,87,96,93,,525,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
778BFF4A-11CB-43FB-82AB-9A29647D14E0,5/18/2022,W00101,25B,M,SSG,NCO,E6,25,DIAGNOSTIC,none,95,300,10.7,37,'1:51','22:00',,63,89,,89,82,82,60,,465,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
ACC3813A-A0BA-4897-A221-6493C3D561E1,9/9/2022,W00111,35S,M,SSG,NCO,E6,24,DIAGNOSTIC,none,120,200,7.3,12,'01:58','18:46',,70,71,,62,61,76,70,,410,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
A967A04F-1410-41EE-B084-E12FDF538A89,9/22/2022,W00129,35S,M,SGT,NCO,E5,27,RECORD,none,90,340,11.9,20,'02:15','18:16',,63,100,,94,66,65,72,,460,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
CFD89AA6-6F1A-4EF5-987E-58D8ABE10644,10/26/2022,W00145,35N,M,SPC,Enlisted,E4,24,RECORD,none,114,240,11.9,29,'1:30','17:07',,69,79,,95,72,100,80,,495,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
777F5F75-1BA2-4ECC-AFA0-D3785622E58C,12/29/2022,W00133,35S,M,SGT,NCO,E5,23,RECORD,none,213,260,6.6,46,'01:47','13:33',,99,84,,60,90,86,99,,518,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
E8D18E2A-6437-4D50-8817-4FF34774F413,4/26/2022,W00101,35P,F,SFC,NCO,E7,41,RECORD,none,97,160,6.3,22,'02:34','20:13',,68,90,,88,90,83,73,,492,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
30D3AF76-36E4-44A4-9393-6D5E14D1249E,10/21/2022,W00113,35P,M,SSG,NCO,E6,32,RECORD,none,223,340,12,58,'01:45','16:45',,100,100,,96,98,92,84,,570,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
36548044-86BD-4BD9-A83D-EDC300820E66,5/11/2022,W00116,35A,M,MAJ,Officer,O4,29,DIAGNOSTIC,none,150,290,9,40,'01:35','13:16',,81,88,,72,84,97,100,,522,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
E277B55A-2E14-4068-93D1-9B944A7CDEDC,7/26/2022,W00111,35N,M,SFC,NCO,E7,38,DIAGNOSTIC,none,127,220,10.8,31,'02:08','18:03',,77,81,,90,81,75,76,,480,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
769C5967-1826-45F0-B978-CC8B5C55EE5F,8/30/2022,W00122,35N,M,SSG,NCO,E6,31,RECORD,none,81,140,8.1,15,'02:27','20:46',,60,60,,65,63,61,62,,371,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
CCF07745-61EF-4BF5-A0A2-5B73FD1A4E0A,10/3/2022,W00101,25B,M,SGT,NCO,E5,26,RECORD,none,90,320,11.7,48,'02:06','20:11',,61,92,,94,92,69,64,,472,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
2E9CF3CF-D1B0-4F67-A90C-5015315502A5,4/13/2022,W00101,25B,M,SGT,NCO,E5,34,DIAGNOSTIC,none,217,340,11.4,40,'01:52','16:59',,100,100,,93,86,86,82,,547,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
3B5A39B9-1B1C-4657-BE3D-95FB126DE6DB,10/17/2022,W00122,35F,M,SPC,Enlisted,E4,24,RECORD,none,94,140,8.5,12,'02:03','19:44',,62,60,,69,61,71,65,,388,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
9513AC54-864E-44FD-AD08-CCD498A9FEE4,12/2/2022,W00114,35N,M,SPC,Enlisted,E4,30,RECORD,none,155,320,8.7,44,'1:46','15:40',,83,91,,69,88,89,90,,510,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
52D0EC41-7701-45F3-A8D4-20A02488B755,11/16/2022,W00112,35T,M,SGT,NCO,E5,28,RECORD,none,180,290,9,50,'01:37','16:02',,90,88,,72,93,96,88,,527,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
110B8437-A84F-49B4-AFAF-6CC61D8C523B,7/27/2022,W00112,35N,M,SPC,Enlisted,E4,26,DIAGNOSTIC,none,61,300,10.7,20,'2:03','23:56',,12,89,,89,66,71,2,,329,FAIL,FALSE,FALSE,FALSE,FALSE,FALSE
FDFB5A03-2523-4B5C-97AD-F63919DE1FDF,9/3/2022,W00122,35N,M,SPC,Enlisted,E4,18,DIAGNOSTIC,none,220,220,7,40,'1:51','19:40',,100,77,,62,84,82,65,,470,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
38116D40-67B6-4013-9154-0D7D45027006,9/29/2022,W00131,35Z,M,1SG,NCO,E8,37,DIAGNOSTIC,none,203,380,10.6,45,'01:40','15:45',,100,100,,89,93,98,92,,572,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
4743C5B1-B148-4B51-AE25-565B22873B11,10/2/2022,W00122,35S,M,SFC,NCO,E7,39,RECORD,Permanent Profile,125,260,10.7,20,'02:12',,'23:15',77,88,12 KM Bike,90,70,72,0,60,457,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
07730097-AF79-43FA-8C8C-2922C1659C55,5/31/2022,W00115,35A,M,CPT,Officer,O3,39,DIAGNOSTIC,none,110,280,9.5,43,'02:30','17:09',,72,91,,79,91,62,83,,478,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
53C492F5-C283-4079-9E5B-1519E7326AF2,10/25/2022,W00112,352N,F,CW2,Warrant,W2,32,RECORD,none,150,170,4.9,31,'02:09','18:20',,83,91,,64,91,96,86,,511,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
A4101264-AC0C-4F08-A59F-794489285185,4/29/2022,W00129,004A  ,M,WO1,Warrant,W1,27,RECORD,none,150,240,6.8,35,'01:44','18:03',,81,79,,60,80,90,74,,464,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
A96DEE8F-C944-4916-966A-164477D25911,9/21/2022,W00122,35N,M,SGT,NCO,E5,22,DIAGNOSTIC,none,156,310,9.1,40,'01:51','18:06',,81,90,,74,84,82,74,,485,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
F4086F2C-F060-477D-8557-0754A76701DE,10/24/2022,W00122,35N,M,SGT,NCO,E5,22,RECORD,none,135,340,11.7,46,'01:40','14:38',,75,100,,94,90,93,96,,548,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
35EF9BB6-1ADE-42A0-ABB2-352B4DBE4C63,10/25/2022,W00145,35N,M,SGT,NCO,E5,36,RECORD,none,121,170,9.5,20,'02:00','18:53',,74,69,,77,68,78,70,,436,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
E8EDD67D-2341-4C89-BAD6-44785CCE3653,7/27/2022,W00112,35N,M,SGT,NCO,E5,24,DIAGNOSTIC,none,135,160,8.5,30,'1:51','14:58',,75,65,,69,73,82,94,,458,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
C1C1CCF3-FED6-4DC3-9D22-2732F739833C,7/13/2022,W00112,35N,M,SGT,NCO,E5,21,DIAGNOSTIC,none,160,280,9,35,'1:51','17:34',,81,90,,77,78,82,75,,483,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
881BB5CC-E3F4-4419-A9D0-5A1E8B22E6B4,10/25/2022,W00111,35S,M,SSG,NCO,E6,38,RECORD,Permanent Profile,75,170,5.2,15,,'35:00',,61,71,,16,66,60,0,,274,FAIL,FALSE,FALSE,FALSE,FALSE,TRUE
630AF688-D6AF-4FDF-A080-E5FE4334B3EC,12/14/2022,W00111,35S,M,SFC,NCO,E7,37,RECORD,Permanent Profile,202,340,9.1,52,'01:50',,'20:37',100,100,5 KM Row,75,96,91,0,60,522,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
0841AC3D-604C-474E-B429-692AFB629F88,5/18/2022,W00113,35P,M,SSG,NCO,E6,30,DIAGNOSTIC,none,90,240,10.3,35,'1:39','15:13',,63,79,,83,80,94,93,,492,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
4AFB1FA4-28F8-4A8C-9EFB-C2AF57348815,4/22/2022,W00133,35S,M,SSG,NCO,E6,21,DIAGNOSTIC,none,100,150,7.9,12,'1:53','17:08',,63,61,,67,60,80,78,,409,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
CAD775E3-FB86-48B2-A6B6-1F5692D250F8,6/28/2022,W00132,35S,F,SGT,NCO,E5,22,RECORD,none,87,130,4.8,18,'03:03','22:52',,60,64,,64,74,61,60,,383,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
5AEE3F9E-BA27-4473-904F-1521D3DAB900,9/21/2022,W00133,35S,M,SSG,NCO,E6,25,RECORD,none,140,340,14.8,45,'01:36','20:20',,77,100,,100,89,96,63,,525,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
4F9FFD30-02B7-46E8-A3DD-3CCA18E2914E,10/25/2022,W00114,35N,M,SSG,NCO,E6,28,RECORD,none,122,340,10.5,47,'1:57','20:34',,73,100,,85,91,78,62,,489,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
FEFFC86A-43F0-49B6-917A-BB5A85F011F5,6/29/2022,W00111,35N,M,SGT,NCO,E5,23,DIAGNOSTIC,none,92,150,8.5,12,'2:15','19:06',,62,61,,69,61,64,68,,385,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
29B4F125-0460-4DB1-B0F3-A1E417F55CDE,9/1/2022,W00114,35N,F,SPC,Enlisted,E4,24,DIAGNOSTIC,none,175,140,5.3,16,'02:19','17:09',,87,71,,71,71,87,92,,479,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
510C8083-226B-4939-86D1-8F138E8E06B8,5/18/2022,W00111,92Y,M,SPC,Enlisted,E4,20,DIAGNOSTIC,none,91,140,9,15,'02:11','25:38',,60,60,,77,61,65,0,,323,FAIL,FALSE,FALSE,FALSE,FALSE,FALSE
8AA7FB67-A76B-4D0A-85F9-9F6C8E636813,4/18/2022,W00145,35N,M,SPC,Enlisted,E4,19,DIAGNOSTIC,none,129,180,6.7,21,'1:46','18:58',,72,68,,61,64,87,68,,420,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
3265F435-691B-4007-9236-546E82DACF0C,5/23/2022,W00129,25B,M,CPL,NCO,E4,20,DIAGNOSTIC,none,105,260,7.8,45,'01:40','14:38',,64,84,,66,90,93,95,,492,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
7DC9DFB1-76E5-480C-8C3D-45E2CB75EE81,7/27/2022,W00112,35S,M,SSG,NCO,E6,35,DIAGNOSTIC,none,80,340,12.1,20,'1:51','19:45',,61,100,,96,68,87,65,,477,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
7A34D6E7-4B98-4223-AE7F-F6E13DD35750,8/18/2022,W00122,352N,F,CW2,Warrant,W2,42,DIAGNOSTIC,none,191,140,5.1,35,'02:27','15:03',,97,72,,70,99,92,100,,530,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
FDC85B91-A086-4091-87CD-A8BEB5A294D3,5/9/2022,W00116,35A,M,MAJ,Officer,O4,29,RECORD,none,152,290,9.2,35,'01:40','13:15',,82,88,,73,80,94,100,,517,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
621A55D0-FF6F-4497-89A0-15C5C60561E7,10/2/2022,W00111,35N,M,SFC,NCO,E7,38,RECORD,none,127,220,10.8,31,'02:08','18:03',,77,81,,90,81,75,76,,480,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
75A7FA22-4231-476A-8799-1A8FF883F1FC,10/3/2022,W00101,35P,M,SSG,NCO,E6,29,RECORD,Permanent Profile,145,200,8.5,32,'01:45',,'28:29',80,71,2.5 Mile Walk,68,77,90,0,60,446,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
66304601-9FF4-409B-968D-346F5AB5AFAC,5/4/2022,W00111,35S,M,SSG,NCO,E6,22,DIAGNOSTIC,none,90,240,8.7,30,'1:44','18:39',,61,79,,70,73,89,70,,442,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
86B19010-D526-47E8-8FFA-74B0BDEF66D6,5/25/2022,W00129,25B,M,SPC,Enlisted,E4,19,RECORD,none,225,180,7.6,40,'01:48','14:36',,100,68,,65,84,85,95,,497,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
116FD66C-098D-4436-902E-B90054C1C9A5,6/15/2022,W00111,92Y,M,SSG,NCO,E6,31,DIAGNOSTIC,none,110,200,10,42,'2:01','18:06',,69,71,,81,86,74,73,,454,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
C42C4BD4-CB76-4AEC-A89F-3AC10753DD10,10/21/2022,W00113,52B,M,LTC,Officer,O5,41,RECORD,none,124,170,8.4,39,'02:18','17:11',,76,71,,68,88,68,83,,454,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
4971D2A4-CA9E-4703-A8F4-C27871F00F39,9/28/2022,W00122,26B   ,M,MAJ,Officer,O4,32,DIAGNOSTIC,none,205,300,9.2,54,'01:47','13:17',,100,90,,74,97,90,100,,551,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
5E37D9CB-B6DC-44A9-9518-D4729EE0810F,8/2/2022,W00129,35A,F,CPT,Officer,O3,25,DIAGNOSTIC,none,87,230,8.6,26,'02:11','16:59',,60,100,,100,84,92,93,,529,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
D64382FA-4ED9-4F1C-9FA4-AAE4D5D5F9D4,7/28/2022,W00113,35P,M,SSG,NCO,E6,26,DIAGNOSTIC,none,215,330,7,35,'01:53','18:46',,100,99,,61,80,80,70,,490,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
EFAC3E0B-9035-417B-8421-4B6CDA6634F7,10/4/2022,W00131,42A,M,CPL,NCO,E4,21,RECORD,none,100,280,11.2,33,'01:34','15:17',,63,90,,94,76,98,91,,512,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
B4F359FA-CB3A-4CD4-A33D-FE4A4870A142,5/6/2022,W00129,25B,M,SPC,Enlisted,E4,19,RECORD,none,106,200,8.7,38,'02:15','17:54',,65,72,,74,82,63,73,,429,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
5E193FDD-7271-4F96-B385-9BFFAEBA34A0,10/25/2022,W00122,35S,M,SPC,Enlisted,E4,21,RECORD,none,93,240,7.8,22,'2:11','21:38',,61,82,,66,65,65,60,,399,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
547B0CE9-B0E4-4946-853E-F3B7C0095C8D,10/26/2022,W00101,35S,M,SGT,NCO,E5,20,RECORD,none,95,290,10.8,30,'01:37','21:24',,61,91,,92,72,95,60,,471,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
A9066357-475D-4F33-BB11-DF962BD6FA3F,9/8/2022,W00111,42A,M,SGT,NCO,E5,27,RECORD,none,200,260,7.2,44,'02:17','16:59',,97,84,,61,88,64,81,,475,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
E116A81B-0635-4460-86C8-41A2A9A43505,6/7/2022,W00101,46S,M,SSG,NCO,E6,28,RECORD,none,90,240,12.5,43,'01:48','15:51',,63,79,,97,87,87,89,,502,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
F152B186-491E-493C-952F-3D885F571E0C,9/14/2022,W00101,35F,M,SGT,NCO,E5,23,RECORD,none,215,140,7.9,22,'02:07','16:40',,100,60,,65,69,69,83,,446,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
AFF2D4C5-9FA9-4C87-9426-9556BD7F2656,4/20/2022,W00133,35S,M,SGT,NCO,E5,22,DIAGNOSTIC,none,90,160,7.1,30,'2:23','18:59',,61,65,,61,73,61,69,,390,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
E22C51E7-B54B-4A9E-8F72-68698B87B3BA,10/1/2022,W00101,35P,M,SSG,NCO,E6,36,RECORD,none,120,240,10.8,48,'01:55','15:18',,74,81,,89,93,83,94,,514,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
92BAF9FF-F307-4557-B6D9-25F618D56AEA,8/26/2022,W00114,35N,M,SSG,NCO,E6,29,DIAGNOSTIC,none,93,290,11,26,'01:58','18:46',,64,88,,89,71,77,70,,459,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
FCA2BCF9-A533-4D88-B689-844840A5EFD2,4/22/2022,W00114,35P,M,SGT,NCO,E5,22,DIAGNOSTIC,none,151,260,8.3,15,'1:32','16:08',,80,84,,68,63,99,87,,481,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
289F190C-360E-45E8-9490-74599D984732,9/29/2022,W00113,35P,M,SGT,NCO,E5,34,DIAGNOSTIC,none,100,160,8.1,23,'02:03','14:02',,67,68,,65,71,75,99,,445,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
6C100913-8D24-43B6-AD67-9178FFBBEC81,10/26/2022,W00133,35S,M,SSG,NCO,E6,25,RECORD,none,118,340,14.7,49,'01:35','21:24',,70,100,,100,93,96,60,,519,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
DC31CCD8-8C0A-490F-82EA-B7D6001D4B94,7/11/2022,W00121,35N,M,SGT,NCO,E5,24,DIAGNOSTIC,none,132,240,8.8,40,'01:47','15:54',,74,79,,71,84,86,88,,482,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
71351DF5-EE59-4BD4-B566-4BCE4AA7C32B,6/7/2022,W00114,35N,M,SGT,NCO,E5,25,RECORD,none,100,200,7.3,30,'01:54','18:06',,64,71,,62,73,79,74,,423,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
21E59DF7-E3EF-4C81-B490-17C3EC1E83A7,12/13/2022,W00114,35N,M,SPC,Enlisted,E4,19,RECORD,none,100,200,5.6,29,'02:13','20:17',,63,72,,42,71,64,63,,375,FAIL,FALSE,FALSE,FALSE,FALSE,FALSE
049AFD9A-B29F-4B9F-B0B5-36DB268EECE7,7/8/2022,W00122,35N,M,SPC,Enlisted,E4,25,RECORD,none,92,300,10.6,32,'01:54','21:48',,62,89,,88,77,79,60,,455,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
D832AF92-066D-4707-A13E-0E46C37E02EE,10/1/2022,W00112,35N,M,SGT,NCO,E5,28,RECORD,none,150,180,9.7,31,'01:54','17:15',,81,69,,78,75,81,79,,463,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
050EBD6F-7A3C-4973-BAB5-939DD521A293,8/11/2022,W00101,35Z,M,SGM,NCO,E9,47,RECORD,Permanent Profile,76,,9.9,12,'02:07','17:51',,62,60,,91,66,86,84,,449,PASS,TRUE,FALSE,FALSE,FALSE,FALSE
3CEF7740-DF42-4FF9-9320-53A046095E2F,8/30/2022,W00129,25B,M,SSG,NCO,E6,30,DIAGNOSTIC,none,97,340,11.1,45,'02:11','19:20',,65,100,,90,89,67,67,,478,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
184DA470-CC2E-4B37-B647-93993C5F8D44,10/21/2022,W00113,35S,F,SSG,NCO,E6,25,RECORD,none,121,140,4.7,20,'02:54','19:13',,71,71,,63,76,65,78,,424,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
FF7B1069-2300-441D-BF46-F17032DE161A,6/1/2022,W00111,35S,M,SSG,NCO,E6,25,DIAGNOSTIC,none,93,260,7.7,21,'01:54','19:14',,62,84,,64,68,79,67,,424,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
8E33B454-E19D-4DA8-92F9-AC18A071F586,10/21/2022,W00113,35N,M,SSG,NCO,E6,25,RECORD,none,122,200,11.3,33,'01:59','19:16',,71,71,,92,78,75,67,,454,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
BC1C1712-DFD7-4C38-A9FC-9C9ABF377A92,4/22/2022,W00114,35N,F,SSG,NCO,E6,27,DIAGNOSTIC,none,113,160,6.7,20,'2:22','19:52',,70,86,,88,79,86,73,,482,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
AD271D7F-8441-4775-8674-372331F10DEA,9/30/2022,W00122,35S,M,SGT,NCO,E5,22,RECORD,none,116,140,6.8,12,'02:11','17:56',,69,60,,60,61,66,75,,391,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
ADAC1139-1B1A-4E49-9E16-FC5C3482AACA,10/1/2022,W00112,35N,M,SGT,NCO,E5,28,RECORD,none,120,150,7.2,26,'02:08','17:53',,72,63,,61,71,69,75,,411,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
C92F65E7-2AEC-4B3B-8368-0AD675E4DF58,12/13/2022,W00114,35N,M,SGT,NCO,E5,19,RECORD,none,90,240,8.6,32,'01:53','18:48',,60,82,,74,75,80,68,,439,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
5A5BCD11-4A0F-49A0-8587-9103446AF788,10/25/2022,W00101,35F,F,SPC,Enlisted,E4,19,RECORD,none,113,140,5,18,'02:25','20:51',,67,71,,68,70,82,68,,426,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
A4614B9A-C8AC-41BD-819D-820DAA765898,10/3/2022,W00129,255A  ,F,CW2,Warrant,W2,40,RECORD,none,200,160,5.1,38,'02:26','17:37',,100,90,,69,98,89,92,,538,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
3FFA1B85-5987-443E-BBB5-308E78235432,10/25/2022,W00122,35N,M,SFC,NCO,E7,44,RECORD,none,94,200,8.4,21,'02:13','19:29',,67,79,,72,74,75,69,,436,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
